i,j,k,facecolor
0,551,7,"rgb(255,0,0)"
7,8,0,"rgb(255,0,0)"
5,554,15,"rgb(255,0,0)"
15,16,5,"rgb(255,0,0)"
552,0,8,"rgb(255,0,0)"
8,9,552,"rgb(255,0,0)"
555,5,16,"rgb(255,0,0)"
16,17,555,"rgb(255,0,0)"
1,552,9,"rgb(255,0,0)"
9,10,1,"rgb(255,0,0)"
556,555,17,"rgb(255,0,0)"
17,18,556,"rgb(255,0,0)"
553,1,10,"rgb(255,0,0)"
10,11,553,"rgb(255,0,0)"
557,556,18,"rgb(255,0,0)"
18,19,557,"rgb(255,0,0)"
2,553,11,"rgb(255,0,0)"
11,12,2,"rgb(255,0,0)"
558,557,19,"rgb(255,0,0)"
19,20,558,"rgb(255,0,0)"
3,2,12,"rgb(255,0,0)"
12,13,3,"rgb(255,0,0)"
550,83,6,"rgb(255,0,0)"
358,558,20,"rgb(255,0,0)"
4,3,13,"rgb(255,0,0)"
13,14,4,"rgb(255,0,0)"
551,550,6,"rgb(255,0,0)"
6,7,551,"rgb(255,0,0)"
554,4,14,"rgb(255,0,0)"
14,15,554,"rgb(255,0,0)"
14,13,28,"rgb(255,0,0)"
28,29,14,"rgb(255,0,0)"
7,6,21,"rgb(255,0,0)"
21,22,7,"rgb(255,0,0)"
15,14,29,"rgb(255,0,0)"
29,30,15,"rgb(255,0,0)"
8,7,22,"rgb(255,0,0)"
22,23,8,"rgb(255,0,0)"
16,15,30,"rgb(255,0,0)"
30,31,16,"rgb(255,0,0)"
9,8,23,"rgb(255,0,0)"
23,24,9,"rgb(255,0,0)"
17,16,31,"rgb(255,0,0)"
31,32,17,"rgb(255,0,0)"
10,9,24,"rgb(255,0,0)"
24,25,10,"rgb(255,0,0)"
18,17,32,"rgb(255,0,0)"
32,33,18,"rgb(255,0,0)"
11,10,25,"rgb(255,0,0)"
25,26,11,"rgb(255,0,0)"
19,18,33,"rgb(255,0,0)"
33,34,19,"rgb(255,0,0)"
12,11,26,"rgb(255,0,0)"
26,27,12,"rgb(255,0,0)"
20,19,34,"rgb(255,0,0)"
34,35,20,"rgb(255,0,0)"
13,12,27,"rgb(255,0,0)"
27,28,13,"rgb(255,0,0)"
6,84,21,"rgb(255,0,0)"
357,20,35,"rgb(255,0,0)"
33,32,47,"rgb(255,0,0)"
47,48,33,"rgb(255,0,0)"
26,25,40,"rgb(255,0,0)"
40,41,26,"rgb(255,0,0)"
34,33,48,"rgb(255,0,0)"
48,49,34,"rgb(255,0,0)"
27,26,41,"rgb(255,0,0)"
41,42,27,"rgb(255,0,0)"
35,34,49,"rgb(255,0,0)"
49,50,35,"rgb(255,0,0)"
28,27,42,"rgb(255,0,0)"
42,43,28,"rgb(255,0,0)"
21,85,36,"rgb(255,0,0)"
356,35,50,"rgb(255,0,0)"
29,28,43,"rgb(255,0,0)"
43,44,29,"rgb(255,0,0)"
22,21,36,"rgb(255,0,0)"
36,37,22,"rgb(255,0,0)"
30,29,44,"rgb(255,0,0)"
44,45,30,"rgb(255,0,0)"
23,22,37,"rgb(255,0,0)"
37,38,23,"rgb(255,0,0)"
31,30,45,"rgb(255,0,0)"
45,46,31,"rgb(255,0,0)"
24,23,38,"rgb(255,0,0)"
38,39,24,"rgb(255,0,0)"
32,31,46,"rgb(255,0,0)"
46,47,32,"rgb(255,0,0)"
25,24,39,"rgb(255,0,0)"
39,40,25,"rgb(255,0,0)"
45,44,59,"rgb(255,0,0)"
59,60,45,"rgb(255,0,0)"
